Timestamp,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,Accel,Brake,Gear,RPM,CurrentLapTime
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,0.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,1.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,1.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,1.0,0.0,1.0,942.478,
,-0.000612781,,,0.333666,0.00969284,1.0,0.0,1.0,942.478,
